FID,wcode,practicename,noofbranches,ppclustercode,ppclustername,uprn,usrn,easting,northing,latitude,longitude,lhb_code,lhbwcode,lhb_name_cy,lhb_name_en,lacode,msoa21cd,edcode,lsoa21cd,countrycode,country_cy,country_en,fid,id,geom
gpmainsites_ogl.16,W91005,Pendre Surgery,0,CC108,North West Flintshire,1.00101E+11,46800045,318845.57,375758.27,53.272593,-3.2183975,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000005,W02000060,W05001596,W01000304,W92000004,Cymru,Wales,34,15,MULTIPOINT ((318845.57 375758.27))
gpmainsites_ogl.17,W91006,Pen Y Maes Health Centre,0,CC113,North & West Wrexham,10070383634,46903987,331205.63,353782.48,53.0768361,-3.0283539,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000006,W02000081,W05001735,W01000378,W92000004,Cymru,Wales,35,16,MULTIPOINT ((331205.63 353782.48))
gpmainsites_ogl.18,W91007,Cadwgan Surgery,0,CC104,Conwy East,1.00101E+11,46601454,287128,378076,53.2876097,-3.694643,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000003,W02000035,W05001407,W01000126,W92000004,Cymru,Wales,37,17,MULTIPOINT ((287128 378076))
gpmainsites_ogl.19,W91009,Healthy Prestatyn Iach,4,CC111,North Denbighshire,1.00101E+11,46700908,306696,382875,53.3345437,-3.4026228,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000004,W02000043,W05001345,W01000216,W92000004,Cymru,Wales,38,18,MULTIPOINT ((306696 382875))
gpmainsites_ogl.20,W91010,Canolfan Iechyd Llangollen Health Centre,1,CC112,South Wrexham,10002231899,46700568,322057.64,342068.88,52.970303,-3.1620441,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000004,W02000057,W05001341,W01000209,W92000004,Cymru,Wales,43,19,MULTIPOINT ((322057.64 342068.88))
gpmainsites_ogl.21,W91013,Hope Family Medical Centre,0,CC110,South Flintshire,10093282071,46804247,331022.43,357711.58,53.1121253,-3.0319328,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000005,W02000077,W05001599,W01000308,W92000004,Cymru,Wales,46,20,MULTIPOINT ((331022.43 357711.58))
gpmainsites_ogl.22,W91014,Kinmel Bay Medical Centre,0,CC104,Conwy East,50000009500,46606093,298827,380438,53.3111989,-3.5199712,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000003,W02000031,W05001417,W01000149,W92000004,Cymru,Wales,47,21,MULTIPOINT ((298827 380438))
gpmainsites_ogl.23,W91015,The Stables Medical Practice,2,CC106,North East Flintshire,1.00101E+11,46801449,331759,365712,53.1841238,-3.0226379,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000005,W02000068,W05001594,W01000311,W92000004,Cymru,Wales,49,22,MULTIPOINT ((331759 365712))
gpmainsites_ogl.24,W91016,Bryn Darland Surgery,1,CC113,North & West Wrexham,2.00003E+11,46911410,328293,351235,53.0535565,-3.0712542,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000006,W02000083,W05001726,W01000364,W92000004,Cymru,Wales,52,23,MULTIPOINT ((328293 351235))
gpmainsites_ogl.25,W91017,Pendre Surgery,0,CC110,South Flintshire,1.00101E+11,46802352,323411.77,364073.09,53.1682568,-3.1471292,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000005,W02000073,W05001606,W01000318,W92000004,Cymru,Wales,54,24,MULTIPOINT ((323411.77 364073.09))
gpmainsites_ogl.26,W91018,Roseneath Medical Practice,0,CC110,South Flintshire,10090465656,46800904,327906.64,364526.11,53.1729569,-3.080007,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000005,W02000069,W05001578,W01000264,W92000004,Cymru,Wales,55,25,MULTIPOINT ((327906.64 364526.11))
gpmainsites_ogl.27,W91019,Gardden Road Surgery,1,CC112,South Wrexham,10070384912,46902621,329615,346258,53.0090008,-3.0504465,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000006,W02000092,W05001749,W01000405,W92000004,Cymru,Wales,57,26,MULTIPOINT ((329615 346258))
gpmainsites_ogl.28,W91021,Marches Medical Practice,1,CC106,North East Flintshire,1.00101E+11,46802994,333732.55,363588.84,53.1652915,-2.9926697,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000005,W02000072,W05001573,W01000255,W92000004,Cymru,Wales,62,27,MULTIPOINT ((333732.55 363588.84))
gpmainsites_ogl.29,W91022,Plas Y Bryn Medical Centre,0,CC114,Central Wrexham,2.00003E+11,46903250,333352.94,349974.63,53.042885,-2.9955164,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000006,W02000088,W05001747,W01000402,W92000004,Cymru,Wales,64,28,MULTIPOINT ((333352.94 349974.63))
gpmainsites_ogl.30,W91023,Pen-y-Bont Surgery,0,CC103,Central & South Denbighshire,2.00004E+11,46701208,303435,374312,53.2570116,-3.4489697,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000004,W02000051,W05001358,W01000246,W92000004,Cymru,Wales,65,29,MULTIPOINT ((303435 374312))
gpmainsites_ogl.31,W91024,Chirk Surgery,0,CC112,South Wrexham,10090399058,46910342,329173.75,337784.01,52.9327801,-3.0551637,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000006,W02000096,W05001725,W01000361,W92000004,Cymru,Wales,66,30,MULTIPOINT ((329173.75 337784.01))
gpmainsites_ogl.32,W91025,Alyn Family Doctors,1,CC113,North & West Wrexham,1.00101E+11,46903754,333249.03,356002.58,53.0970491,-2.998319,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000006,W02000424,W05001742,W01000390,W92000004,Cymru,Wales,69,31,MULTIPOINT ((333249.03 356002.58))
gpmainsites_ogl.33,W91026,Dee Valley Medical Practice,1,CC112,South Wrexham,10090398695,46903480,337317.55,341783.49,52.969743,-2.9347986,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000006,W02000095,W05001748,W01000404,W92000004,Cymru,Wales,72,32,MULTIPOINT ((337317.55 341783.49))
gpmainsites_ogl.34,W91027,Bronyffynnon Surgery,1,CC103,Central & South Denbighshire,2.00004E+11,46700126,305066.12,366117.37,53.1836675,-3.4220855,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000004,W02000052,W05001334,W01000199,W92000004,Cymru,Wales,74,33,MULTIPOINT ((305066.12 366117.37))
gpmainsites_ogl.35,W91028,Park House Surgery,1,CC111,North Denbighshire,1.001E+11,46700908,306790.55,382946.34,53.3352014,-3.4012244,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000004,W02000043,W05001345,W01000216,W92000004,Cymru,Wales,76,34,MULTIPOINT ((306790.55 382946.34))
gpmainsites_ogl.36,W91029,Bodowen Surgery,1,CC108,North West Flintshire,2.00003E+11,46803968,318895.38,375518.78,53.2704484,-3.2175896,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000005,W02000060,W05001596,W01000304,W92000004,Cymru,Wales,78,35,MULTIPOINT ((318895.38 375518.78))
gpmainsites_ogl.37,W91030,St Georges Crescent Surgery,0,CC114,Central Wrexham,1.00101E+11,46904483,333780,350255,53.0454581,-2.9892054,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000006,W02000089,W05001758,W01001931,W92000004,Cymru,Wales,80,36,MULTIPOINT ((333780 350255))
gpmainsites_ogl.39,W91032,Allt Goch Medical Centre,0,CC108,North West Flintshire,10013707112,46801122,324217.42,372762.28,53.2464633,-3.1371467,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000005,W02000061,W05001587,W01000288,W92000004,Cymru,Wales,82,37,MULTIPOINT ((324217.42 372762.28))
gpmainsites_ogl.40,W91033,Beech House Surgery,1,CC103,Central & South Denbighshire,2.00004E+11,46701256,305532.72,366318.52,53.1855582,-3.4151649,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000004,W02000052,W05001334,W01000194,W92000004,Cymru,Wales,83,38,MULTIPOINT ((305532.72 366318.52))
gpmainsites_ogl.41,W91034,The Clinic Surgery,0,CC103,Central & South Denbighshire,2.00003E+11,46700654,312893,358108,53.1130311,-3.3028133,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000004,W02000055,W05001356,W01000244,W92000004,Cymru,Wales,86,39,MULTIPOINT ((312893 358108))
gpmainsites_ogl.42,W91036,Shotton Lane Surgery,0,CC106,North East Flintshire,1.00101E+11,46801584,330855,368520,53.2092436,-3.0367714,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000005,W02000066,W05001612,W01000334,W92000004,Cymru,Wales,87,40,MULTIPOINT ((330855 368520))
gpmainsites_ogl.43,W91037,Pennant Surgery,0,CC108,North West Flintshire,10023846599,46805363,318714.39,375820.63,53.2731333,-3.2203801,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000005,W02000060,W05001596,W01000304,W92000004,Cymru,Wales,88,41,MULTIPOINT ((318714.39 375820.63))
gpmainsites_ogl.44,W91038,Gwrych Medical Centre,1,CC104,Conwy East,10023741498,46663979,293488,377989,53.2881458,-3.5992494,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000003,W02000036,W05001427,W01000179,W92000004,Cymru,Wales,91,42,MULTIPOINT ((293488 377989))
gpmainsites_ogl.45,W91039,Deeside Medical Centre,0,CC106,North East Flintshire,10013704515,46804647,330807,368793,53.2116909,-3.0375492,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000005,W02000066,W05001612,W01000334,W92000004,Cymru,Wales,94,43,MULTIPOINT ((330807 368793))
gpmainsites_ogl.46,W91040,The Quay Surgery,0,CC106,North East Flintshire,10023846988,46800416,330067.66,369128.65,53.2146105,-3.0486916,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000005,W02000065,W05001586,W01000283,W92000004,Cymru,Wales,95,44,MULTIPOINT ((330067.66 369128.65))
gpmainsites_ogl.47,W91042,Beechley Medical Centre,0,CC114,Central Wrexham,10023170581,46903240,333913.28,349672.38,53.0402381,-2.9870979,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000006,W02000089,W05001738,W01000382,W92000004,Cymru,Wales,97,45,MULTIPOINT ((333913.28 349672.38))
gpmainsites_ogl.48,W91043,Ruabon Medical Centre,0,CC112,South Wrexham,10070384084,46903520,330265.38,344021.22,52.9889825,-3.0402715,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000006,W02000093,W05001757,W01000420,W92000004,Cymru,Wales,100,46,MULTIPOINT ((330265.38 344021.22))
gpmainsites_ogl.49,W91044,Leeswood Surgery,0,CC110,South Flintshire,1.00101E+11,46800870,326971.89,360110.55,53.1331453,-3.0929801,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000005,W02000076,W05001600,W01000309,W92000004,Cymru,Wales,103,47,MULTIPOINT ((326971.89 360110.55))
gpmainsites_ogl.50,W91046,Eyton Place Surgery,0,CC108,North West Flintshire,10093282519,46801181,324262.65,373083.25,53.2493543,-3.1365455,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000005,W02000061,W05001588,W01000290,W92000004,Cymru,Wales,105,48,MULTIPOINT ((324262.65 373083.25))
gpmainsites_ogl.51,W91047,Corwen Family Practice,0,CC103,Central & South Denbighshire,2.00002E+11,46701721,307979.01,343575.05,52.9816048,-3.3720515,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000004,W02000056,W05001337,W01000193,W92000004,Cymru,Wales,107,49,MULTIPOINT ((307979.01 343575.05))
gpmainsites_ogl.52,W91048,West End Medical Centre,0,CC104,Conwy East,50000004904,46604448,284094,379489,53.2996494,-3.7406487,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000003,W02000034,W05001428,W01000183,W92000004,Cymru,Wales,108,50,MULTIPOINT ((284094 379489))
gpmainsites_ogl.53,W91051,Queensferry Medical Practice,0,CC106,North East Flintshire,1.00101E+11,46801549,331679,368246,53.2068877,-3.0243772,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000005,W02000068,W05001610,W01000328,W92000004,Cymru,Wales,110,51,MULTIPOINT ((331679 368246))
gpmainsites_ogl.54,W91053,Madryn House Surgery,0,CC111,North Denbighshire,1.00101E+11,46700772,301823.93,380860.75,53.315562,-3.4751371,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000004,W02000047,W05001352,W01000238,W92000004,Cymru,Wales,111,52,MULTIPOINT ((301823.93 380860.75))
gpmainsites_ogl.55,W91055,The Laurels Surgery,0,CC108,North West Flintshire,10093282519,46801181,324262.65,373083.25,53.2493543,-3.1365455,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000005,W02000061,W05001588,W01000290,W92000004,Cymru,Wales,113,53,MULTIPOINT ((324262.65 373083.25))
gpmainsites_ogl.56,W91056,Coedpoeth Health Centre,0,CC113,North & West Wrexham,10070388343,46911492,328687,351108,53.0524679,-3.0653491,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000006,W02000083,W05001726,W01000362,W92000004,Cymru,Wales,114,54,MULTIPOINT ((328687 351108))
gpmainsites_ogl.57,W91057,Middle Lane Surgery,0,CC103,Central & South Denbighshire,1.00101E+11,46700872,305467.62,366422.74,53.1864832,-3.4161697,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000004,W02000052,W05001334,W01000194,W92000004,Cymru,Wales,116,55,MULTIPOINT ((305467.62 366422.74))
gpmainsites_ogl.58,W91058,Hillcrest Medical Centre,2,CC114,Central Wrexham,1.00101E+11,46904289,334139,350657,53.0491157,-2.9839337,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000006,W02000089,W05001761,W01001931,W92000004,Cymru,Wales,117,56,MULTIPOINT ((334139 350657))
gpmainsites_ogl.59,W91059,Beech Avenue Practice,0,CC112,South Wrexham,10070384801,46902573,329196.03,346463.16,53.0107894,-3.0567347,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000006,W02000092,W05001754,W01000411,W92000004,Cymru,Wales,121,57,MULTIPOINT ((329196.03 346463.16))
gpmainsites_ogl.60,W91060,St Mark's Dee View Surgery,0,CC106,North East Flintshire,10091764787,46800416,330067.66,369128.65,53.2146105,-3.0486916,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000005,W02000065,W05001586,W01000283,W92000004,Cymru,Wales,122,58,MULTIPOINT ((330067.66 369128.65))
gpmainsites_ogl.61,W91604,Hanmer Surgery,0,CC112,South Wrexham,1.00101E+11,46900674,344523.27,339351.7,52.9486805,-2.8270996,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000006,W02000095,W05001717,W01000403,W92000004,Cymru,Wales,124,59,MULTIPOINT ((344523.27 339351.7))
gpmainsites_ogl.62,W91610,Caergwrle Medical Practice,0,CC110,South Flintshire,1.00101E+11,46802814,330417,357563.69,53.1107174,-3.0409437,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000005,W02000077,W05001580,W01000269,W92000004,Cymru,Wales,126,60,MULTIPOINT ((330417 357563.69))
gpmainsites_ogl.63,W91614,Crane Medical Centre,0,CC112,South Wrexham,2.00003E+11,46902742,327881.76,342274.8,52.9729699,-3.0753829,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000006,W02000094,W05001723,W01000355,W92000004,Cymru,Wales,127,61,MULTIPOINT ((327881.76 342274.8))
gpmainsites_ogl.64,W91615,Lakeside Medical Centre,0,CC111,North Denbighshire,2.00004E+11,46701286,300175.67,380778.33,53.3145131,-3.4998436,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000004,W02000045,W05001355,W01000241,W92000004,Cymru,Wales,128,62,MULTIPOINT ((300175.67 380778.33))
gpmainsites_ogl.65,W91622,Kings House Surgery,1,CC111,North Denbighshire,2.00004E+11,46700624,300589.6,381159.12,53.3180127,-3.4937521,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000004,W02000045,W05001355,W01000240,W92000004,Cymru,Wales,131,63,MULTIPOINT ((300589.6 381159.12))
gpmainsites_ogl.66,W91624,Berllan Surgery,0,CC103,Central & South Denbighshire,2.00004E+11,46701256,305394,366153,53.1840462,-3.4171911,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000004,W02000052,W05001334,W01000194,W92000004,Cymru,Wales,133,64,MULTIPOINT ((305394 366153))
gpmainsites_ogl.67,W91629,Caia Park Surgery,0,CC114,Central Wrexham,10091694476,46903379,334907.43,350194.9,53.0450568,-2.9723789,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000006,W02000087,W05001753,W01000413,W92000004,Cymru,Wales,135,65,MULTIPOINT ((334907.43 350194.9))
gpmainsites_ogl.68,W91636,Panton Surgery,0,CC108,North West Flintshire,10090465649,46803968,318974.08,375403.25,53.2694222,-3.2163803,7A1,W11000023,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,Betsi Cadwaladr University Health Board,W06000005,W02000060,W05001596,W01000304,W92000004,Cymru,Wales,139,66,MULTIPOINT ((318974.08 375403.25))
gpmainsites_ogl.69,W92002,St Thomas Surgery,2,CC204,North Pembrokeshire,1.00101E+11,47000655,195258,215190,51.7977929,-4.9706811,7A2,W11000025,Bwrdd Iechyd Prifysgol Hywel Dda,Hywel Dda University Health Board,W06000009,W02000130,W05001445,W01002010,W92000004,Cymru,Wales,143,67,MULTIPOINT ((195258 215190))
gpmainsites_ogl.70,W92003,Meddygfa Minafon,1,CC201,Amman Gwendraeth,1.00101E+11,47204919,240420.87,206752.4,51.7367068,-4.3124827,7A2,W11000025,Bwrdd Iechyd Prifysgol Hywel Dda,Hywel Dda University Health Board,W06000010,W02000159,W05001198,W01000671,W92000004,Cymru,Wales,146,68,MULTIPOINT ((240420.87 206752.4))
gpmainsites_ogl.71,W92005,New Quay Surgery,0,CC205,South Ceredigion,49009078,47123509,238722.61,259888.14,52.2135541,-4.362033,7A2,W11000025,Bwrdd Iechyd Prifysgol Hywel Dda,Hywel Dda University Health Board,W06000008,W02000122,W05001325,W01002002,W92000004,Cymru,Wales,149,69,MULTIPOINT ((238722.61 259888.14))
gpmainsites_ogl.72,W92006,Borth Medical Practice,0,CC203,North Ceredigion,49042172,47100770,260846.98,289487.3,52.485523,-4.0507104,7A2,W11000025,Bwrdd Iechyd Prifysgol Hywel Dda,Hywel Dda University Health Board,W06000008,W02000116,W05001304,W01001937,W92000004,Cymru,Wales,150,70,MULTIPOINT ((260846.98 289487.3))
gpmainsites_ogl.73,W92007,Coach & Horses Surgery,1,CC207,Tywi / Taf,2.00003E+11,47205898,227959,216367,51.8193839,-4.497548,7A2,W11000025,Bwrdd Iechyd Prifysgol Hywel Dda,Hywel Dda University Health Board,W06000010,W02000418,W05001221,W01000720,W92000004,Cymru,Wales,151,71,MULTIPOINT ((227959 216367))
gpmainsites_ogl.74,W92008,Barlow House Surgery,0,CC204,North Pembrokeshire,1.00101E+11,47003312,190478,206050,51.7139592,-5.0343918,7A2,W11000025,Bwrdd Iechyd Prifysgol Hywel Dda,Hywel Dda University Health Board,W06000009,W02000135,W05001462,W01000587,W92000004,Cymru,Wales,153,72,MULTIPOINT ((190478 206050))
gpmainsites_ogl.75,W92009,Meddygfa Teilo,0,CC207,Tywi / Taf,10024324203,47203934,262999.96,222357.06,51.8829022,-3.991887,7A2,W11000025,Bwrdd Iechyd Prifysgol Hywel Dda,Hywel Dda University Health Board,W06000010,W02000145,W05001202,W01000677,W92000004,Cymru,Wales,155,73,MULTIPOINT ((262999.96 222357.06))
gpmainsites_ogl.76,W92013,Meddygfa'r Sarn,0,CC201,Amman Gwendraeth,10024324172,47204831,247013.16,208388.39,51.7532436,-4.2178089,7A2,W11000025,Bwrdd Iechyd Prifysgol Hywel Dda,Hywel Dda University Health Board,W06000010,W02000153,W05001211,W01000695,W92000004,Cymru,Wales,156,74,MULTIPOINT ((247013.16 208388.39))
